study_time_min,practice_completion_rate,avg_quiz_score,quiz_attempts,hint_usage_rate,attendance_rate,days_since_last_activity,stress_index,prereq_mastery,device_reliability,mastery,gender,ses_index,first_gen
111.5,0.86,56.6,1,0.243,0.596,4.1,0.91,0.715,0.757,1,1,0.518,0
389.3,0.3,45.7,5,0.501,0.762,3.9,0.408,0.338,0.79,1,0,0.757,1
458.7,0.755,50.1,4,0.61,0.877,2.2,0.795,0.676,0.862,1,2,0.385,1
463.7,0.362,78.0,6,0.327,0.753,1.9,0.384,0.728,0.891,1,1,0.798,0
321.5,0.339,62.3,4,0.533,0.665,2.6,0.031,0.816,0.787,1,0,0.687,0
135.8,0.425,43.5,5,0.014,0.66,3.2,0.339,0.919,0.652,1,1,0.292,0
212.3,0.288,66.1,2,0.419,0.906,2.0,0.748,0.456,0.907,1,2,0.361,1
264.6,0.602,75.9,4,0.105,0.653,5.4,0.221,0.656,0.696,1,0,0.404,0
173.8,0.335,77.8,2,0.109,0.75,5.3,0.837,0.68,0.649,0,1,0.488,1
310.1,0.424,66.1,5,0.32,0.699,4.0,0.802,0.359,0.643,1,0,0.283,0
26.1,0.77,74.1,3,0.569,0.502,4.4,0.246,0.374,0.501,0,2,0.674,0
132.5,0.375,59.0,5,0.263,0.748,6.2,0.457,0.348,0.645,1,1,0.301,0
253.1,0.249,75.4,5,0.723,0.377,14.9,0.419,0.68,0.588,0,0,0.26,1
127.0,0.217,69.5,3,0.143,0.892,1.3,0.744,0.242,0.796,0,0,0.424,0
223.6,0.336,73.9,5,0.541,0.527,1.1,0.383,0.615,0.715,1,1,0.705,1
230.3,0.494,81.0,10,0.104,0.295,6.6,0.16,0.801,0.449,0,2,0.31,0
417.0,0.202,86.1,4,0.26,0.573,7.9,0.297,0.354,0.407,1,2,0.721,1
107.7,0.86,72.4,4,0.314,0.62,4.2,0.37,0.64,0.704,1,1,0.917,1
69.5,0.931,67.4,6,0.468,0.919,9.4,0.72,0.391,0.661,1,0,0.669,1
115.9,0.355,67.3,1,0.11,0.707,6.6,0.331,0.726,0.894,1,2,0.505,0
50.9,0.627,43.7,6,0.296,0.243,6.1,0.819,0.314,0.834,0,1,0.562,1
58.7,0.358,87.4,5,0.557,0.282,4.0,0.288,0.766,0.852,0,2,0.659,0
143.0,0.621,65.4,6,0.505,0.853,1.0,0.37,0.427,0.903,1,0,0.894,0
355.7,0.668,84.0,0,0.222,0.801,3.9,0.728,0.642,0.89,1,0,0.593,1
215.7,0.356,75.6,8,0.577,0.915,7.3,0.634,0.429,0.856,1,2,0.702,1
223.5,0.388,91.5,5,0.38,0.591,6.3,0.701,0.247,0.756,1,2,0.52,0
114.9,0.734,79.4,6,0.588,0.824,6.3,0.614,0.636,0.768,1,1,0.66,1
289.7,0.975,84.8,4,0.258,0.907,5.8,0.667,0.662,0.443,1,2,0.435,0
426.3,0.51,63.7,6,0.633,0.716,4.4,0.817,0.678,0.726,1,2,0.568,1
67.4,0.304,48.5,4,0.206,0.232,4.5,0.451,0.52,0.542,0,1,0.309,1
439.7,0.91,77.1,3,0.583,0.811,4.2,0.859,0.464,0.897,1,2,0.684,1
205.1,0.695,39.7,4,0.215,0.559,13.8,0.708,0.261,0.694,0,0,0.183,1
221.9,0.513,65.4,3,0.205,0.723,3.9,0.874,0.597,0.678,1,0,0.424,1
209.0,0.171,49.8,3,0.111,0.847,7.0,0.87,0.578,0.752,1,2,0.213,0
263.0,0.484,60.2,3,0.36,0.737,5.6,0.552,0.78,0.492,0,1,0.412,0
424.3,0.647,80.3,6,0.022,0.836,1.7,0.337,0.123,0.294,1,0,0.642,0
277.2,0.761,79.4,6,0.234,0.579,13.9,0.446,0.332,0.728,1,2,0.576,1
279.5,0.493,69.7,6,0.332,0.343,1.9,0.361,0.965,0.821,1,0,0.654,0
118.6,0.56,71.0,3,0.584,0.346,6.0,0.457,0.0,0.653,0,2,0.045,1
257.3,0.648,58.9,4,0.854,0.592,6.3,0.725,0.389,0.798,0,0,0.071,0
114.7,0.185,100.0,4,0.276,0.762,0.5,0.332,0.29,0.73,1,2,0.469,1
232.0,0.808,76.2,4,0.49,0.73,1.4,0.48,0.236,0.699,1,2,0.44,0
567.2,0.399,66.7,3,0.602,0.631,2.8,0.663,0.342,0.837,1,2,0.854,1
0.0,0.267,78.8,4,0.306,0.533,9.4,0.519,0.562,0.481,1,1,0.306,1
190.6,0.471,83.9,5,0.227,0.889,2.1,0.572,0.839,0.555,1,1,0.153,0
279.9,0.551,64.2,3,0.13,0.752,5.5,0.143,0.6,0.61,1,2,0.724,1
194.9,0.703,52.1,6,0.238,0.447,2.5,0.639,0.026,0.538,1,0,0.448,0
197.5,0.581,54.9,3,0.252,0.871,6.2,0.767,0.752,0.383,1,2,0.417,1
175.1,0.431,57.1,4,0.411,0.599,6.2,0.637,0.475,0.69,0,1,0.106,1
222.3,0.819,74.2,9,0.636,0.795,2.5,0.64,0.65,0.975,1,1,0.867,0
189.4,0.764,43.7,4,0.071,0.622,4.4,0.439,0.272,0.559,1,1,0.193,0
111.4,0.308,60.6,6,0.308,0.571,3.8,0.41,0.512,0.78,1,1,0.232,0
472.5,0.26,72.1,3,0.336,0.919,7.4,0.323,0.681,0.917,1,0,0.892,0
137.3,0.719,71.0,7,0.575,0.927,3.1,0.462,0.647,0.582,1,0,0.317,1
282.7,0.313,80.6,4,0.375,0.903,1.1,0.488,0.909,0.882,1,0,0.353,0
91.4,0.174,72.1,5,0.693,0.55,7.5,0.594,0.351,0.68,0,0,0.114,1
352.6,0.539,100.0,1,0.683,0.994,5.5,0.628,0.404,0.75,1,1,0.677,1
300.7,0.876,87.3,2,0.421,0.519,2.6,0.519,0.313,0.461,1,2,0.548,1
266.1,0.568,75.1,8,0.488,0.698,3.2,0.337,0.599,0.72,1,1,0.513,0
107.0,0.462,58.4,4,0.178,0.777,12.2,0.135,0.909,0.527,1,1,0.368,0
137.2,0.921,62.5,3,0.212,0.738,10.5,0.405,0.739,0.782,1,2,0.347,1
350.5,0.741,46.5,5,0.12,0.724,4.5,0.166,0.849,0.787,1,1,0.208,1
136.0,0.557,74.1,2,0.42,0.976,13.3,0.48,0.284,0.568,1,0,0.594,1
320.5,0.382,79.6,10,0.344,0.799,4.2,0.209,0.648,0.611,1,2,0.695,0
116.1,0.21,84.5,1,0.618,0.526,5.6,0.559,0.923,0.619,1,1,0.508,0
330.9,0.596,75.7,2,0.496,0.938,6.7,0.562,0.744,0.881,1,1,0.654,1
144.5,0.324,86.8,2,0.571,0.623,8.4,0.438,0.325,0.777,1,1,0.432,1
114.0,0.537,87.0,4,0.441,0.725,5.6,0.346,0.594,0.741,1,1,0.589,0
171.6,0.688,60.6,5,0.113,0.889,2.5,0.17,0.375,0.866,1,0,0.872,1
159.1,0.549,64.7,3,0.161,0.911,0.8,0.419,0.407,0.88,0,1,0.36,0
209.5,0.567,66.3,2,0.194,0.894,10.5,0.412,0.553,0.797,1,2,0.188,0
257.6,0.378,65.1,4,0.559,0.204,1.4,0.409,0.481,0.712,0,0,0.758,0
99.5,0.214,68.6,5,0.474,0.79,1.9,0.857,0.74,0.95,1,1,0.664,0
246.9,0.449,79.2,7,0.232,0.714,6.0,0.523,0.694,0.839,1,0,0.737,0
124.2,0.222,73.3,5,0.508,0.494,3.2,0.37,0.401,0.382,1,1,0.799,0
235.8,0.219,66.5,7,0.643,0.265,6.4,0.385,0.764,0.533,0,1,0.05,0
311.0,0.425,58.8,5,0.179,0.84,5.0,0.398,0.564,0.734,1,2,0.479,0
217.4,0.184,79.1,5,0.553,0.936,3.1,0.693,0.591,0.654,1,0,0.459,0
249.9,0.1,78.1,2,0.559,0.695,2.1,0.811,0.067,0.346,0,0,0.437,0
412.7,0.843,61.3,3,0.61,0.984,7.8,0.373,0.443,0.844,1,1,0.558,1
232.7,0.324,56.9,7,0.562,1.0,6.4,0.651,0.83,0.562,1,2,0.801,1
61.1,0.474,83.7,2,0.133,0.496,5.2,0.828,0.583,0.562,0,2,0.057,0
283.7,0.704,96.5,5,0.35,0.893,0.7,0.377,0.189,0.566,1,0,0.611,0
125.4,0.819,78.3,10,0.741,0.669,3.1,0.383,0.767,0.885,1,0,0.71,1
196.8,0.211,66.9,1,0.247,0.604,3.3,0.376,0.732,0.6,1,2,0.612,1
154.1,0.695,86.6,3,0.306,0.88,9.8,0.363,0.265,0.66,1,0,0.57,1
172.8,0.889,81.6,3,0.738,0.7,10.6,0.313,0.344,0.753,1,2,0.866,1
192.5,0.823,69.1,6,0.446,0.79,4.7,0.536,0.853,0.839,1,0,0.518,0
264.0,0.235,80.1,7,0.743,0.426,6.5,0.309,0.405,0.589,0,2,0.061,1
286.6,0.739,55.2,2,0.511,0.599,3.0,0.3,0.592,0.79,1,0,0.146,0
321.9,0.82,62.3,4,0.589,0.504,6.3,0.589,0.817,0.918,1,1,0.612,1
257.0,0.701,77.1,3,0.653,0.836,0.7,0.344,0.669,0.65,1,1,0.512,1
191.7,0.392,73.6,5,0.378,0.836,2.2,0.174,0.557,0.819,1,0,0.369,1
0.0,0.516,83.9,7,0.65,0.933,2.9,0.323,0.127,0.673,1,1,0.691,0
205.4,0.69,83.2,7,0.702,0.72,6.4,0.552,0.352,0.648,1,1,0.24,0
0.0,0.751,44.8,5,0.662,0.703,2.9,0.742,0.604,0.352,0,2,0.273,0
8.4,0.68,72.5,1,0.277,0.362,4.3,0.784,0.732,0.848,1,2,0.569,0
202.2,0.277,98.6,5,0.416,0.954,1.3,0.912,0.719,0.761,1,1,0.472,1
279.1,0.754,66.6,3,0.535,0.613,10.7,0.586,0.056,0.853,0,1,0.751,1
115.4,0.124,56.5,8,0.023,0.816,4.0,0.471,0.924,0.727,1,1,0.202,0
388.9,0.096,40.6,7,0.436,0.087,6.3,0.555,0.593,0.772,0,1,0.559,1
270.8,0.38,73.4,6,0.465,0.984,3.4,0.128,0.586,0.628,1,2,0.595,0
192.6,0.223,80.1,1,0.373,0.383,3.0,0.239,0.132,0.472,1,0,0.487,0
317.5,0.538,74.6,4,0.315,0.307,7.9,0.822,0.648,0.562,0,0,0.159,0
392.2,0.613,57.5,4,0.341,0.729,2.4,0.378,0.698,0.853,1,1,0.555,0
276.4,0.673,71.9,6,0.38,0.629,2.6,0.281,0.251,0.74,1,0,0.439,1
79.7,0.131,69.6,7,0.528,0.784,4.7,0.626,0.58,0.833,1,0,0.287,1
159.5,0.382,72.7,6,0.14,0.901,4.5,0.498,0.243,0.92,1,0,0.441,1
5.9,0.284,51.2,2,0.04,0.557,4.8,0.152,0.764,0.611,1,2,0.214,0
245.3,0.42,76.1,3,0.282,0.915,2.5,0.602,0.532,0.855,1,2,0.745,1
104.5,0.226,60.6,5,0.84,0.439,2.7,0.5,0.712,0.979,0,2,0.377,0
183.8,0.298,45.8,4,0.306,0.61,4.0,0.125,0.557,0.838,0,1,0.474,0
193.7,0.771,76.0,6,0.669,0.68,4.7,0.595,0.118,0.726,1,2,0.294,0
0.0,0.476,68.5,2,0.39,0.599,14.7,0.831,0.608,0.796,0,0,0.155,1
111.0,0.586,83.3,7,0.567,0.541,3.9,0.368,0.776,0.963,1,2,0.677,1
109.2,0.413,59.0,2,0.288,0.82,5.6,0.68,0.241,0.492,1,1,0.264,0
214.2,0.704,80.8,4,0.527,0.895,4.0,0.308,0.134,0.952,1,2,0.507,1
165.7,0.9,86.3,4,0.449,0.495,3.9,0.565,0.394,0.67,1,0,0.373,0
220.2,0.191,99.6,4,0.109,0.712,2.0,0.822,0.587,0.892,1,1,0.753,0
142.3,0.589,83.4,4,0.375,0.946,4.3,0.328,0.66,0.746,1,2,0.471,1
90.6,0.784,80.4,3,0.237,0.527,5.8,0.528,0.634,0.49,1,1,0.835,1
161.2,0.419,52.7,0,0.315,0.58,1.9,0.455,0.47,0.683,0,1,0.636,1
196.6,0.757,70.5,3,0.13,0.753,4.2,0.284,0.436,0.64,1,0,0.501,1
130.9,0.817,46.6,4,0.316,0.466,8.4,0.147,0.613,0.799,1,1,0.247,0
262.3,0.742,63.5,3,0.507,0.925,2.4,0.285,0.479,0.939,1,0,0.729,1
266.1,0.818,99.4,2,0.579,0.832,3.2,0.124,0.069,0.781,1,0,0.403,1
325.0,0.457,60.7,6,0.425,0.61,6.0,0.568,0.692,0.585,0,2,0.683,0
180.3,0.45,42.2,5,0.416,0.877,6.3,0.395,0.568,0.742,0,1,0.897,0
76.7,0.189,86.4,2,0.485,0.984,3.6,0.084,0.539,0.778,1,1,0.874,0
389.9,0.462,65.6,0,0.383,0.692,7.3,0.372,0.428,0.972,1,1,0.709,1
262.4,0.387,82.8,4,0.498,0.609,0.9,0.442,0.652,0.375,0,2,0.443,1
115.0,0.528,55.6,7,0.323,0.879,1.8,0.95,0.179,0.8,0,0,0.379,1
195.5,0.574,60.5,4,0.957,0.893,3.3,0.293,0.43,0.572,1,1,0.049,0
337.5,0.349,88.7,2,0.313,0.864,1.1,0.412,0.77,0.648,1,0,0.478,0
410.2,0.924,53.5,3,0.449,0.861,2.8,0.878,0.328,0.8,1,1,0.463,0
277.6,0.375,72.6,2,0.326,0.853,4.0,0.404,0.622,0.433,1,2,0.786,0
281.6,0.806,70.6,5,0.472,0.647,6.6,0.599,0.532,0.739,1,1,0.216,0
86.9,0.681,61.9,8,0.185,0.508,1.5,0.433,0.49,0.493,0,2,0.603,0
216.1,0.574,75.4,3,0.098,0.792,2.9,0.807,0.552,0.736,1,1,0.457,0
183.1,0.718,72.2,2,0.691,0.608,2.8,0.58,0.685,0.725,1,2,0.381,0
202.7,0.231,74.0,2,0.423,0.62,11.4,0.721,0.496,0.758,0,1,0.323,1
397.2,0.318,97.8,4,0.129,0.812,3.1,0.91,0.277,0.834,1,0,0.496,0
192.5,0.631,100.0,5,0.275,0.577,8.9,0.562,0.515,0.663,1,2,0.28,0
116.9,0.274,78.5,10,0.34,0.641,5.2,0.579,0.516,0.444,0,2,0.57,0
81.0,0.564,70.5,6,0.11,0.525,8.5,0.359,0.495,0.707,1,0,0.633,1
346.0,0.326,72.7,1,0.163,0.853,7.5,0.284,0.413,0.513,1,2,0.168,1
276.5,0.563,68.7,1,0.059,0.335,4.4,0.351,0.393,0.447,1,0,0.386,0
269.3,0.186,49.8,6,0.324,0.891,2.7,0.184,0.412,0.606,1,2,0.422,1
212.2,0.41,74.3,7,0.68,0.667,4.2,0.494,0.622,0.757,1,2,0.716,1
249.5,0.813,87.1,2,0.214,0.466,5.5,0.624,0.622,0.512,1,1,0.646,1
141.4,0.654,54.5,8,0.061,0.631,4.6,0.332,0.905,0.747,1,2,0.711,0
292.6,0.608,61.2,8,0.048,0.147,3.8,0.114,0.642,0.797,1,0,0.962,0
120.8,0.513,66.9,2,0.481,0.744,10.5,0.188,0.611,0.307,1,0,0.671,0
180.5,0.19,77.2,2,0.13,0.648,1.3,0.496,0.579,0.964,1,0,0.626,0
179.3,0.51,100.0,3,0.291,0.601,2.2,0.236,0.913,0.806,1,1,0.744,0
0.0,0.455,60.7,3,0.654,0.482,4.7,0.735,0.677,0.719,0,2,0.332,0
211.9,0.351,76.3,8,0.336,0.955,1.6,0.647,0.78,0.784,1,0,0.787,0
151.1,0.418,75.1,1,0.428,0.449,3.6,0.383,0.836,0.661,1,1,0.679,0
196.9,0.606,67.8,3,0.151,0.537,7.3,0.374,0.237,0.397,1,2,0.556,0
220.2,0.763,71.3,5,0.408,0.887,1.7,0.318,0.147,0.928,1,0,0.549,0
414.5,0.189,65.5,3,0.095,0.855,3.1,0.424,0.357,0.792,1,2,0.583,0
283.5,0.517,100.0,3,0.498,0.41,2.2,0.489,0.767,0.718,1,0,0.784,0
286.8,0.688,85.5,3,0.444,0.814,1.8,0.361,0.417,0.859,1,2,0.891,1
304.5,0.906,68.6,8,0.743,0.789,2.6,0.237,0.831,0.709,1,1,0.947,0
260.9,0.25,83.1,6,0.738,0.45,6.1,0.598,0.327,0.691,0,1,0.289,0
270.0,0.526,75.6,5,0.187,0.842,2.8,0.312,0.808,0.909,1,0,0.545,0
251.0,0.246,72.8,4,0.023,0.629,4.8,0.416,0.863,0.752,0,1,0.36,0
243.2,0.625,64.0,3,0.239,0.422,5.9,0.63,0.727,0.781,1,2,0.274,0
0.0,0.745,63.0,4,0.284,0.784,7.9,0.819,0.405,0.658,1,0,0.114,0
394.8,0.703,49.4,9,0.109,0.716,6.7,0.934,0.45,0.557,1,2,0.076,0
339.9,0.665,43.1,6,0.664,0.551,3.5,0.74,0.622,0.711,1,1,0.253,1
188.9,0.506,71.7,0,0.742,0.051,5.4,0.724,0.216,0.673,0,2,0.049,1
64.6,0.541,69.3,4,0.429,0.962,2.3,0.761,0.244,0.564,1,1,0.523,0
353.1,0.705,84.3,8,0.454,0.688,8.9,0.504,0.614,0.568,1,1,0.358,0
143.7,0.718,59.5,7,0.715,0.663,10.6,0.575,0.041,0.807,0,0,0.665,1
278.7,0.682,56.6,5,0.769,0.46,2.3,0.267,0.528,0.872,1,1,0.653,0
23.9,0.774,77.4,3,0.397,0.637,13.1,0.696,0.746,0.457,1,0,0.191,1
409.9,0.67,62.4,7,0.147,0.832,8.2,0.522,0.505,0.797,1,1,0.299,0
6.4,0.623,78.5,9,0.551,0.451,5.5,0.264,0.677,0.82,1,0,0.302,0
172.6,0.722,67.0,5,0.231,0.756,16.5,0.376,0.567,0.642,1,1,0.265,0
0.0,0.192,92.8,0,0.188,0.533,5.6,0.669,0.782,0.787,1,1,0.319,1
215.5,0.736,82.6,6,0.337,0.871,1.0,0.404,0.862,0.773,1,0,0.617,1
118.2,0.673,72.2,3,0.42,0.778,4.1,0.351,0.447,0.795,1,2,0.302,1
345.1,0.847,83.2,8,0.17,0.843,2.8,0.889,0.444,0.849,1,1,0.349,0
203.2,0.573,71.2,3,0.4,0.433,6.9,0.406,0.006,0.753,0,2,0.807,1
345.2,0.447,49.0,11,0.442,0.763,0.5,0.764,0.581,0.76,1,0,0.351,0
107.3,0.764,77.1,6,0.758,0.693,6.0,0.542,0.421,0.765,1,0,0.56,0
134.0,0.258,93.7,3,0.36,0.551,7.4,0.386,0.515,0.837,1,1,0.303,1
191.2,0.398,39.9,7,0.383,0.892,5.2,0.539,0.126,0.492,0,0,0.401,1
274.5,0.744,78.6,4,0.515,0.849,4.9,0.227,0.145,0.718,1,0,0.449,0
260.5,0.53,50.5,5,0.279,0.577,10.0,0.681,0.587,0.876,1,1,0.589,0
299.4,0.594,71.7,6,0.327,0.743,9.1,0.618,0.53,0.374,1,0,0.427,0
249.4,0.861,73.1,3,0.264,0.927,6.1,0.264,0.475,0.569,1,2,0.457,0
322.7,0.576,85.5,7,0.328,0.776,5.2,0.689,0.22,0.647,1,0,0.757,0
121.2,0.69,74.9,5,0.698,0.889,0.8,0.528,0.485,0.845,1,0,0.517,1
262.8,0.452,91.2,6,0.231,0.635,2.1,0.314,0.41,0.926,1,1,0.403,0
396.9,0.166,88.3,4,0.251,0.962,3.7,0.549,0.487,0.788,1,2,0.5,1
65.2,0.09,72.2,5,0.156,0.629,1.4,0.528,0.509,0.455,1,0,0.777,0
273.8,0.803,87.3,5,0.031,0.663,2.8,0.679,0.551,0.391,1,0,0.49,0
294.4,0.363,67.6,0,0.716,0.759,7.1,0.618,0.503,0.875,1,2,0.58,0
410.7,0.163,68.2,3,0.544,0.921,3.0,0.677,0.917,0.63,1,2,0.704,0
299.9,0.522,55.1,2,0.09,0.848,4.7,0.375,0.112,0.503,0,1,0.538,0
261.0,0.814,93.4,5,0.107,0.635,5.3,0.749,0.47,0.779,1,1,0.723,0
297.3,0.467,70.8,7,0.821,0.799,5.7,0.205,0.203,0.865,1,1,0.71,1
169.1,0.604,41.1,4,0.586,0.844,6.1,0.626,0.568,0.524,0,1,0.903,0
122.3,0.866,74.1,5,0.315,0.25,7.6,0.523,0.647,0.649,0,1,0.289,0
103.1,0.258,68.9,2,0.564,0.89,0.7,0.788,0.209,0.843,1,0,0.719,1
413.6,0.253,70.8,1,0.281,0.511,7.6,0.303,0.811,0.863,1,0,0.872,0
269.5,0.66,68.7,6,0.324,0.334,4.8,0.335,0.481,0.743,1,0,0.495,1
119.2,0.435,67.3,4,0.541,0.56,3.3,0.564,0.571,0.532,1,2,0.579,1
279.8,0.207,100.0,2,0.539,0.959,2.9,0.593,0.591,0.974,1,1,0.758,1
347.5,0.756,95.3,5,0.273,0.652,0.4,0.192,0.838,0.816,1,1,0.56,0
329.2,0.569,81.8,8,0.273,0.898,1.6,0.861,0.317,0.791,1,1,0.393,1
118.0,0.7,75.4,5,0.557,0.338,1.7,0.305,0.207,0.881,1,2,0.619,0
0.0,0.389,90.8,9,0.493,0.66,1.7,0.356,0.684,0.753,1,0,0.695,0
208.5,0.197,69.9,4,0.416,0.234,2.4,0.391,0.599,0.78,1,0,0.283,1
122.4,0.242,83.4,4,0.082,0.638,5.9,0.384,0.63,0.897,1,0,0.445,0
318.5,0.801,82.8,8,0.717,0.291,4.0,0.624,0.377,0.761,1,1,0.72,1
354.5,0.713,76.8,8,0.138,0.991,4.1,0.59,0.232,0.944,1,2,0.752,0
372.5,0.585,88.2,2,0.032,0.632,8.7,0.427,0.219,0.963,1,1,0.711,0
356.9,0.506,60.6,4,0.383,0.23,2.4,0.337,0.318,0.786,1,1,0.227,0
386.0,0.263,75.8,2,0.373,0.906,8.3,0.838,0.61,0.8,1,2,0.839,1
412.5,0.624,58.3,2,0.204,0.863,3.1,0.5,0.918,0.749,1,0,0.57,0
